 TIME                                   ,IR_hori_kjphpm2                         ,Incidence_Angle_Horizontal,T_RTPV                                  ,Tout
1698,130.95,79.6335,17.7727,17.2
1698.5,47.7,86.4958,17.1495,16.9
1699,0,89.9699,16.65,16.7
1699.5,0,90,16.35,16.4
1700,0,90,16.05,16.1
1700.5,0,90,15.75,15.8
1701,0,90,15.45,15.5
1701.5,0,90,15.15,15.2
1702,0,90,14.85,14.9
1702.5,0,90,14.55,14.6
1703,0,90,14.25,14.3
1703.5,0,90,13.95,14
1704,0,90,13.65,13.7
1704.5,0,90,13.375,13.4
1705,0,90,13.125,13.1
1705.5,0,90,12.85,12.9
1706,0,90,12.55,12.6
1706.5,0,90,12.25,12.3
1707,0,90,11.95,12
1707.5,0,90,11.725,11.7
1708,0,90,11.575,11.6
1708.5,0,90,11.425,11.4
1709,0,90,11.275,11.3
1709.5,0,90,11.15,11.2
1710,0,90,11.05,11.1
1710.5,0,90,11,11
1711,0,87.8694,11,11
1711.5,173.0211,82.3062,12.2743,11.3
1712,661.2955,75.4667,15.9019,11.8
1712.5,982.5049,68.6945,18.595,12.6
1713,1203.1746,62.0209,20.5352,13.5
1713.5,1760.257,55.4893,24.5207,14.6
1714,2176.0424,49.1633,27.505,15.7
1714.5,2476.4466,43.1397,29.7524,16.8
1715,2740.4811,37.5693,31.7879,17.9
1715.5,2892.0439,32.6895,33.1591,18.9
1716,3028.0096,28.8564,34.5325,19.8
1716.5,3177.6132,26.5306,34.4486,20.7
1717,3155.291,26.1192,32.7502,21.5
1717.5,2949.384,27.708,31.4699,22.1
1718,2806.1,30.9899,31.0389,22.6
1718.5,2714.7619,35.4968,30.5844,22.9
1719,2441.2799,40.8228,29.3982,23.2
1719.5,2085.5165,46.6855,28.2748,23.3
1720,1699.9258,52.9034,27.2236,23.2
1720.5,1280.2898,59.361,25.814,23
1721,948.0949,65.9833,24.4553,22.5
1721.5,623.6658,72.72,23.1655,21.9
1722,317.1188,79.5355,21.8297,21.2
1722.5,95.4,86.4034,20.6298,20.4
1723,0,89.9246,19.675,19.7
1723.5,0,90,19.225,19.2
1724,0,90,19.075,19.1
1724.5,0,90,18.925,18.9
1725,0,90,18.775,18.8
1725.5,0,90,18.625,18.6
1726,0,90,18.475,18.5
1726.5,0,90,18.325,18.3
1727,0,90,18.175,18.2
1727.5,0,90,18.05,18.1
1728,0,90,17.95,17.9
1728.5,0,90,17.825,17.8
1729,0,90,17.675,17.7
1729.5,0,90,17.55,17.6
1730,0,90,17.45,17.4
1730.5,0,90,17.225,17.2
1731,0,90,16.875,16.9
1731.5,0,90,16.775,16.8
1732,0,90,16.925,16.9
1732.5,0,90,17.05,17.1
1733,0,90,17.15,17.2
1733.5,0,90,16.825,16.8
1734,0,90,16.075,16.1
1734.5,0,90,16.175,16.2
1735,7.2,87.7608,17.1506,17.1
1735.5,27.9,82.0867,17.7503,17.7
1736,58.5,75.2415,17.9577,17.8
1736.5,91.8,68.4611,18.1567,17.9
1737,124.2,61.7765,18.3273,18
1737.5,157.95,55.2307,18.5025,18.2
1738,187.65,48.8867,18.6789,18.3
1738.5,213.3,42.8404,18.8626,18.4
1739,240.3,37.2429,19.0613,18.5
1739.5,270.9,32.3326,19.2296,18.6
1740,290.7,28.4716,19.3395,18.7
1740.5,306,26.132,19.4762,18.7
1741,306,25.7335,19.6303,18.8
1741.5,285.3,27.3615,19.6568,18.8
1742,276.3,30.6943,19.6298,18.8
1742.5,279.45,35.2499,19.7766,18.9
1743,260.55,40.6166,20.0123,19
1743.5,224.55,46.5116,20.0391,19.1
1744,185.85,52.7545,19.889,19.1
1744.5,133.65,59.2313,19.5968,19.1
1745,96.75,65.8683,19.3142,18.9
1745.5,71.55,72.6159,19.1494,18.9
1746,43.65,79.4393,19.0416,18.9
1746.5,15.3,86.3124,18.9244,18.9
1747,0,89.88,18.825,18.8
1747.5,0,90,18.75,18.8
1748,0,90,18.65,18.7
1748.5,0,90,18.525,18.5
1749,0,90,18.375,18.4
1749.5,0,90,18.25,18.3
1750,0,90,18.15,18.2
1750.5,0,90,17.975,18
1751,0,90,17.725,17.7
1751.5,0,90,17.625,17.6
1752,0,90,17.675,17.7
1752.5,0,90,17.5,17.5
1753,0,90,17.1,17.1
1753.5,0,90,16.675,16.7
1754,0,90,16.225,16.2
1754.5,0,90,15.775,15.8
1755,0,90,15.325,15.3
1755.5,0,90,14.975,15
1756,0,90,14.725,14.7
1756.5,0,90,14.475,14.5
1757,0,90,14.225,14.2
1757.5,0,90,14.025,14
1758,0,90,13.875,13.9
1758.5,0,90,13.8,13.8
1759,7.2,87.6515,13.8252,13.8
1759.5,249.7038,81.866,15.0459,14.1
1760,616.0353,75.0152,17.1412,14.7
1760.5,936.5955,68.2268,19.3059,15.4
1761,1269.0837,61.5315,21.6833,16.3
1761.5,1586.145,54.9718,23.3518,17.2
1762,1924.0387,48.6098,24.3965,18.1
1762.5,2285.2734,42.5411,25.8689,19.1
1763,2539.0059,36.9163,27.3027,20.1
1763.5,2625.6647,31.9755,28.3262,21
1764,2748.7323,28.0862,29.6742,21.8
1764.5,2875.9858,25.7326,31.0191,22.6
1765,2966.6227,25.3479,32.1732,23.3
1765.5,3075.7073,27.0165,31.4863,23.9
1766,2999.7391,30.4012,29.8218,24.4
1766.5,2787.5243,35.0061,29.3332,24.8
1767,2496.6353,40.4137,29.3097,25.1
1767.5,2101.8941,46.3408,28.7925,25.2
1768,1733.4174,52.6085,28.0563,25.2
1768.5,1394.6654,59.1042,27.2025,25
1769,1028.8545,65.7556,26.1446,24.6
1769.5,676.7581,72.5138,25.0553,24.1
1770,353.7527,79.3447,23.93,23.4
1770.5,100.8,86.2227,22.8736,22.7
1771,0,89.8359,21.975,22
1771.5,0,90,21.45,21.5
1772,0,90,21.15,21.2
1772.5,0,90,20.85,20.9
1773,0,90,20.55,20.6
1773.5,0,90,20.225,20.2
1774,0,90,19.875,19.9
1774.5,0,90,19.55,19.6
1775,0,90,19.25,19.3
1775.5,0,90,18.95,18.9
1776,0,90,18.65,18.7
1776.5,0,90,18.4,18.4
1777,0,90,18.2,18.2
1777.5,0,90,18.025,18
1778,0,90,17.875,17.9
1778.5,0,90,17.725,17.7
1779,0,90,17.575,17.6
1779.5,0,90,17.475,17.5
1780,0,90,17.425,17.4
1780.5,0,90,17.35,17.4
1781,0,90,17.25,17.3
1781.5,0,90,17.175,17.2
1782,0,90,17.125,17.1
1782.5,0,90,17.1,17.1
1783,7.2,87.5416,17.1201,17.1
1783.5,158.1695,81.6442,17.7482,17.3
1784,377.5015,74.788,18.6663,17.7
1784.5,552.4152,67.992,19.467,18.2
1785,738.0871,61.2862,20.3053,18.8
1785.5,900.4331,54.7126,21.1542,19.4
1786,1099.6338,48.3329,22.2151,19.9
1786.5,1369.825,42.2418,23.2174,20.5
1787,1529.8333,36.5897,23.7499,21.2
1787.5,1598.6881,31.6181,24.3819,21.8
1788,1662.8863,27.7002,25.277,22.3
1788.5,1697.8741,25.3327,25.9709,22.8
1789,1715.1234,24.9625,26.4007,23.2
1789.5,1733.0019,26.6731,26.798,23.6
1790,1666.1325,30.1109,27.046,23.9
1790.5,1517.4728,34.7655,27.1618,24.1
1791,1361.0702,40.214,27.2692,24.2
1791.5,1184.3835,46.1731,27.0949,24.3
1792,971.5328,52.4653,26.5883,24.2
1792.5,702.6461,58.9797,25.8163,24.1
1793,492.8567,65.645,25.0734,23.8
1793.5,306.9,72.4136,24.306,23.5
1794,161.1,79.2517,23.5437,23.1
1794.5,60.3,86.1343,22.8661,22.7
1795,0,89.7924,22.3,22.3
1795.5,0,90,22,22
1796,0,90,21.8,21.8
1796.5,0,90,21.6,21.6
1797,0,90,21.4,21.4
1797.5,0,90,21.2,21.2
1798,0,90,21,21
1798.5,0,90,20.8,20.8
1799,0,90,20.6,20.6
1799.5,0,90,20.4,20.4
1800,0,90,20.2,20.2
1800.5,0,90,20.025,20
1801,0,90,19.875,19.9
1801.5,0,90,19.725,19.7
1802,0,90,19.575,19.6
1802.5,0,90,19.45,19.5
1803,0,90,19.35,19.4
1803.5,0,90,19.25,19.3
1804,0,90,19.15,19.2
1804.5,0,90,19.075,19.1
1805,0,90,19.025,19
1805.5,0,90,19,19
1806,0,90,19,19
1806.5,0,90,19,19
1807,7.2,87.4311,19.0402,19
1807.5,213.3994,81.4214,20.453,19.3
1808,535.2328,74.5601,22.8622,19.9
1808.5,740.6613,67.7566,24.5501,20.6
1809,994.356,61.0405,26.3965,21.3
1809.5,1301.0389,54.4534,28.461,22
1810,1563.8858,48.0561,30.133,22.8
1810.5,1777.1348,41.9428,31.1593,23.6
1811,1966.5145,36.2633,31.8243,24.4
1811.5,2137.3839,31.2607,33.1868,25.1
1812,2232.2539,27.3138,35.3011,25.8
1812.5,2254.2225,24.9324,36.4311,26.4
1813,2250.1506,24.5775,36.346,26.9
1813.5,2206.139,26.3314,35.9379,27.3
1814,2130.1728,29.8234,35.5149,27.7
1814.5,2042.5587,34.5283,35.6248,28
1815,1829.6748,40.0177,35.5597,28.2
1815.5,1520.5752,46.0086,34.5414,28.3
1816,1217.8228,52.325,33.1627,28.3
1816.5,883.8673,58.8577,31.6291,28.1
1817,618.2586,65.5367,30.2926,27.8
1817.5,383.4,72.3153,28.9103,27.4
1818,207,79.1603,27.699,26.9
1818.5,75.6,86.0472,26.729,26.5
1819,0,89.7495,25.95,26
1819.5,0,90,25.55,25.6
1820,0,90,25.25,25.3
1820.5,0,90,24.925,24.9
1821,0,90,24.575,24.6
1821.5,0,90,24.225,24.2
1822,0,90,23.875,23.9
1822.5,0,90,23.55,23.6
1823,0,90,23.25,23.3
1823.5,0,90,22.925,22.9
1824,0,90,22.575,22.6
1824.5,0,90,22.175,22.2
1825,0,90,21.725,21.7
1825.5,0,90,21.275,21.3
1826,0,90,20.825,20.8
1826.5,0,90,20.375,20.4
1827,0,90,19.925,19.9
1827.5,0,90,19.575,19.6
1828,0,90,19.325,19.3
1828.5,0,90,19.075,19.1
1829,0,90,18.825,18.8
1829.5,0,90,18.6,18.6
1830,0,90,18.4,18.4
1830.5,0,90,18.3,18.3
1831,21.6,87.3203,18.3464,18.3
1831.5,202.1252,81.1977,19.0257,18.6
1832,569.7961,74.3316,20.5802,19.1
1832.5,1085.169,67.5208,23.0752,19.9
1833,1426.4128,60.7947,25.4695,21
1833.5,1416.5368,54.1942,26.3237,21.9
1834,1490.507,47.7796,27.0661,22.6
1834.5,1604.6262,41.6441,28.3852,23.1
1835,1629.514,35.9373,30.2617,23.6
1835.5,1543.8678,30.9035,31.2842,24
1836,1698.5205,26.9273,32.8458,24.3
1836.5,1767.068,24.5317,33.6985,24.6
1837,1952.2343,24.193,34.9897,24.9
1837.5,2223.6494,25.9917,37.7339,25.3
1838,2351.2066,29.5389,41.3607,25.7
1838.5,2474.0733,34.2944,44.9476,26.1
1839,2208.2262,39.8248,44.0148,26.4
1839.5,1606.3205,45.8473,39.01,26.5
1840,1204.7123,52.1876,35.3956,26.5
1840.5,825.7511,58.7383,32.3753,26.3
1841,560.7,65.4306,30.1781,25.9
1841.5,382.95,72.2188,28.4953,25.5
1842,221.85,79.0705,26.7654,25
1842.5,80.1,85.9612,25.0612,24.5
1843,0,89.7071,23.95,24
1843.5,0,90,23.525,23.5
1844,0,90,23.175,23.2
1844.5,0,90,22.85,22.9
1845,0,90,22.55,22.6
1845.5,0,90,22.25,22.3
1846,0,90,21.95,22
1846.5,0,90,21.625,21.6
1847,0,90,21.275,21.3
1847.5,0,90,20.95,21
1848,0,90,20.65,20.7
1848.5,0,90,20.425,20.4
1849,0,90,20.275,20.3
1849.5,0,90,20.125,20.1
1850,0,90,19.975,20
1850.5,0,90,19.8,19.8
1851,0,90,19.6,19.6
1851.5,0,90,19.475,19.5
1852,0,90,19.425,19.4
1852.5,0,90,19.375,19.4
1853,0,90,19.325,19.3
1853.5,0,90,19.275,19.3
1854,0,90,19.225,19.2
1854.5,0,90,19.225,19.2
1855,7.2,87.209,19.3152,19.3
1855.5,265.8321,80.9734,20.9925,19.6
1856,641.8302,74.1027,23.7424,20.2
1856.5,840.7532,67.2848,25.129,20.8
1857,1007.0085,60.5489,25.896,21.5
1857.5,950.4271,53.9353,25.9779,22
1858,1364.0626,47.5035,28.8067,22.5
1858.5,1829.2539,41.3459,32.4836,23.1
1859,2183.0473,35.6119,36.4534,23.8
1859.5,2426.7734,30.5466,39.6386,24.6
1860,2328.4295,26.5406,39.9336,25.3
1860.5,1770.7603,24.1309,36.284,25.7
1861,1372.6153,23.809,33.4569,25.9
1861.5,925.7526,25.6539,30.8204,25.9
1862,756.3945,29.2575,29.6793,25.7
1862.5,919.6671,34.064,30.0688,25.5
1863,785.5759,39.6353,28.8279,25.4
1863.5,393.75,45.6891,26.7966,25.1
1864,211.05,52.053,25.7133,24.8
1864.5,134.1,58.6213,25.0212,24.4
1865,74.7,65.3266,24.3921,24.1
1865.5,76.95,72.1241,24.031,23.7
1866,52.65,78.9821,23.568,23.4
1866.5,18,85.8765,23.1321,23.1
1867,0,89.6652,22.825,22.8
1867.5,0,90,22.525,22.5
1868,0,90,22.175,22.2
1868.5,0,90,21.85,21.9
1869,0,90,21.55,21.6
1869.5,0,90,21.225,21.2
1870,0,90,20.875,20.9
1870.5,0,90,20.525,20.5
1871,0,90,20.175,20.2
1871.5,0,90,19.85,19.9
1872,0,90,19.55,19.6
1872.5,0,90,19.05,19.1
1873,0,90,18.35,18.4
1873.5,0,90,17.675,17.7
1874,0,90,17.025,17
1874.5,0,90,16.375,16.4
1875,0,90,15.725,15.7
1875.5,0,90,15.25,15.3
1876,0,90,14.95,15
1876.5,0,90,14.625,14.6
1877,0,90,14.275,14.3
1877.5,0,90,13.975,14
1878,0,90,13.725,13.7
1878.5,0,90,13.575,13.6
1879,14.4,87.0974,13.5922,13.5
1879.5,274.3545,80.7485,14.9837,13.8
1880,715.7861,73.8734,17.0366,14.4
1880.5,1182.1416,67.0488,18.9811,15.2
1881,1351.9149,60.3033,19.8515,16.1
1881.5,1009.9289,53.6768,19.3146,16.6
1882,1241.1245,47.228,20.5776,16.9
1882.5,1824.2589,41.0485,22.7532,17.3
1883,1921.2835,35.2871,22.9502,17.9
1883.5,1265.8332,30.1901,21.2009,18.3
1884,1788.2184,26.154,22.5135,18.4
1884.5,2616.1487,23.7299,25.0988,18.8
1885,2907.2474,23.4258,27.2729,19.5
1885.5,2406.0576,25.3184,26.671,20
1886,2265.6398,28.9792,26.6497,20.4
1886.5,2181.3024,33.8371,27.2044,20.7
1887,2165.8039,39.4493,28.6598,20.9
1887.5,2359.2932,45.5341,30.3168,21.1
1888,1969.5349,51.9212,28.3536,21.2
1888.5,1197.5169,58.5068,25.3271,21.2
1889,841.0322,65.2248,24.041,20.9
1889.5,649.573,72.0313,23.0271,20.6
1890,352.2337,78.8952,21.3105,20.1
1890.5,100.8,85.7928,19.872,19.5
1891,0,89.6237,18.975,19
1891.5,0,90,18.5,18.5
1892,0,90,18.1,18.1
1892.5,0,90,17.75,17.8
1893,0,90,17.45,17.4
1893.5,0,90,17.15,17.2
1894,0,90,16.85,16.9
1894.5,0,90,16.525,16.5
1895,0,90,16.175,16.2
1895.5,0,90,15.85,15.9
1896,0,90,15.55,15.6
1896.5,0,90,15.35,15.4
1897,0,90,15.25,15.3
1897.5,0,90,15.15,15.2
1898,0,90,15.05,15.1
1898.5,0,90,14.95,15
1899,0,90,14.85,14.9
1899.5,0,90,14.775,14.8
1900,0,90,14.725,14.7
1900.5,0,90,14.675,14.7
1901,0,90,14.625,14.6
1901.5,0,90,14.575,14.6
1902,0,90,14.525,14.5
1902.5,0,90,14.525,14.5
1903,7.2,86.9856,14.6006,14.6
1903.5,156.6,80.5231,15.3741,14.8
1904,383.4,73.6439,16.6432,15.2
1904.5,584.5158,66.8128,17.9078,15.7
1905,812.1601,60.058,19.3136,16.3
1905.5,1006.8457,53.4188,20.6435,16.9
1906,1185.5628,46.9532,22.0245,17.5
1906.5,1391.8596,40.752,23.6952,18.2
1907,1558.2877,34.9632,25.4587,18.9
1907.5,1750.6186,29.8343,27.5579,19.5
1908,1788.7313,25.7675,29.0292,20.1
1908.5,1633.5687,23.329,28.8684,20.6
1909,1576.8691,23.0435,28.7505,20.9
1909.5,1565.7666,24.9851,28.4745,21.2
1910,1532.4052,28.7043,27.7655,21.5
1910.5,1534.4263,33.6139,27.1535,21.7
1911,1410.1566,39.2667,26.1539,21.8
1911.5,1168.8261,45.3822,25.2948,21.9
1912,952.9581,51.7923,24.7445,21.9
1912.5,712.4006,58.3947,23.8333,21.8
1913,515.4607,65.125,22.8643,21.5
1913.5,348.3,71.9401,22.0069,21.1
1914,198.9,78.8096,21.2334,20.8
1914.5,70.2,85.7102,20.5121,20.4
1915,0,89.5827,19.925,19.9
1915.5,0,90,19.6,19.6
1916,0,90,19.4,19.4
1916.5,0,90,19.175,19.2
1917,0,90,18.925,18.9
1917.5,0,90,18.675,18.7
1918,0,90,18.425,18.4
1918.5,0,90,18.2,18.2
1919,0,90,18,18
1919.5,0,90,17.8,17.8
1920,0,90,17.6,17.6
1920.5,0,90,17.4,17.4
1921,0,90,17.2,17.2
1921.5,0,90,17,17
1922,0,90,16.8,16.8
1922.5,0,90,16.6,16.6
1923,0,90,16.4,16.4
1923.5,0,90,16.25,16.3
1924,0,90,16.15,16.2
1924.5,0,90,16.025,16
1925,0,90,15.875,15.9
1925.5,0,90,15.775,15.8
1926,0,90,15.725,15.7
1926.5,0,90,15.725,15.7
1927,36,86.8736,15.9152,15.8
1927.5,341.324,80.2975,17.4074,16.2
1928,745.7579,73.4144,19.5957,17
1928.5,935.2207,66.577,21.0244,17.9
1929,1211.7996,59.8131,22.8081,18.8
1929.5,1580.6446,53.1615,24.7727,19.7
1930,1905.9763,46.6793,26.3028,20.7
1930.5,2222.8544,40.4565,27.5262,21.7
1931,2335.0422,34.6404,28.0086,22.6
1931.5,2135.9437,29.4793,27.7819,23.4
1932,2058.489,25.3815,27.9193,23.9
1932.5,2073.4052,22.9282,28.4621,24.4
1933,1995.1108,22.6622,28.9464,24.7
1933.5,1760.885,24.6544,28.7712,25
1934,2366.0266,28.4328,30.5317,25.1
1934.5,2650.5819,33.3943,31.5039,25.4
1935,2449.976,39.0877,31.2195,25.9
1935.5,1514.1007,45.2336,29.1136,26
1936,1530.5166,51.6661,29.1474,25.8
1936.5,1475.836,58.285,28.7417,25.6
1937,1143.8583,65.0272,27.5509,25.5
1937.5,554.2304,71.8506,26.0528,25.1
1938,266.8976,78.7254,25.0441,24.6
1938.5,93.6,85.6286,24.1466,24
1939,0,89.5422,23.325,23.3
1939.5,0,90,22.85,22.9
1940,0,90,22.55,22.6
1940.5,0,90,22.275,22.3
1941,0,90,22.025,22
1941.5,0,90,21.75,21.8
1942,0,90,21.45,21.5
1942.5,0,90,21.15,21.2
1943,0,90,20.85,20.9
1943.5,0,90,20.55,20.6
1944,0,90,20.25,20.3
1944.5,0,90,20,20
1945,0,90,19.8,19.8
1945.5,0,90,19.6,19.6
1946,0,90,19.4,19.4
1946.5,0,90,19.175,19.2
1947,0,90,18.925,18.9
1947.5,0,90,18.75,18.8
1948,0,90,18.65,18.7
1948.5,0,90,18.525,18.5
1949,0,90,18.375,18.4
1949.5,0,90,18.275,18.3
1950,0,90,18.225,18.2
1950.5,0,90,18.175,18.2
1951,7.2,86.7615,18.1447,18.1
1951.5,68.85,80.0718,18.3906,18.2
1952,154.35,73.185,18.8636,18.4
1952.5,209.25,66.3416,19.2386,18.6
1953,309.15,59.5689,19.6951,18.8
1953.5,463.95,52.905,20.3933,19.1
1954,558.45,46.4065,21.0544,19.4
1954.5,603.45,40.1622,21.4971,19.6
1955,670.95,34.3187,21.9117,19.9
1955.5,761.6224,29.1253,22.1015,20.1
1956,807.2442,24.9959,21.9973,20.3
1956.5,801.5295,22.5277,22.0733,20.5
1957,844.5551,22.2819,22.4429,20.7
1957.5,941.5009,24.3262,22.9108,20.9
1958,957.8606,28.1649,23.1912,21.1
1958.5,924.2365,33.1785,23.2667,21.3
1959,852.7513,38.9122,23.169,21.4
1959.5,718.9958,45.088,22.8971,21.4
1960,605.8974,51.5426,22.6245,21.4
1960.5,508.5,58.1777,22.3482,21.4
1961,384.3,64.9314,22.0095,21.3
1961.5,213.3,71.7627,21.5848,21.2
1962,103.5,78.6424,21.2065,21
1962.5,41.4,85.548,20.8872,20.8
1963,0,89.502,20.6,20.6
1963.5,0,90,20.425,20.4
1964,0,90,20.275,20.3
1964.5,0,90,20.125,20.1
1965,0,90,19.975,20
1965.5,0,90,19.85,19.9
1966,0,90,19.75,19.8
1966.5,0,90,19.625,19.6
1967,0,90,19.475,19.5
1967.5,0,90,19.325,19.3
1968,0,90,19.175,19.2
1968.5,0,90,19.075,19.1
1969,0,90,19.025,19
1969.5,0,90,18.975,19
1970,0,90,18.925,18.9
1970.5,0,90,18.85,18.9
1971,0,90,18.75,18.8
1971.5,0,90,18.65,18.7
1972,0,90,18.55,18.6
1972.5,0,90,18.525,18.5
1973,0,90,18.575,18.6
1973.5,0,90,18.575,18.6
1974,0,90,18.525,18.5
1974.5,0,90,18.525,18.5
1975,7.2,86.6494,18.6134,18.6
1975.5,44.1,79.846,18.8723,18.7
1976,99.9,72.9559,19.22,18.8
1976.5,150.3,66.1066,19.5432,18.9
1977,209.7,59.3254,19.9152,19
1977.5,284.4,52.6496,20.3308,19.2
1978,334.8,46.1349,20.6275,19.4
1978.5,364.5,39.8693,20.7646,19.6
1979,398.7,33.9985,20.8562,19.7
1979.5,436.05,28.7724,21.0701,19.9
1980,456.75,24.6109,21.3543,20
1980.5,459.9,22.1276,21.5312,20.2
1981,468.9,21.903,21.6582,20.3
1981.5,492.3,24.0008,21.8053,20.4
1982,472.5,27.9006,21.8042,20.5
1982.5,404.1,32.9664,21.5813,20.5
1983,366.3,38.7402,21.3876,20.5
1983.5,353.25,44.9457,21.2978,20.5
1984,309.15,51.4219,21.1662,20.5
1984.5,239.4,58.0727,20.9286,20.5
1985,178.2,64.8375,20.706,20.4
1985.5,111.6,71.6764,20.5208,20.4
1986,61.2,78.5607,20.3544,20.3
1986.5,23.4,85.4682,20.171,20.1
1987,0,89.4622,19.975,20
1987.5,0,90,19.875,19.9
1988,0,90,19.825,19.8
1988.5,0,90,19.65,19.7
1989,0,90,19.35,19.4
1989.5,0,90,19.025,19
1990,0,90,18.675,18.7
1990.5,0,90,18.625,18.6
1991,0,90,18.875,18.9
1991.5,0,90,19,19
1992,0,90,19,19
1992.5,0,90,19,19
1993,0,90,19,19
1993.5,0,90,18.95,18.9
1994,0,90,18.85,18.9
1994.5,0,90,18.775,18.8
1995,0,90,18.725,18.7
1995.5,0,90,18.675,18.7
1996,0,90,18.625,18.6
1996.5,0,90,18.575,18.6
1997,0,90,18.525,18.5
1997.5,0,90,18.475,18.5
1998,0,90,18.425,18.4
1998.5,0.5246,89.9939,18.425,18.4
1999,5.4,86.5312,18.475,18.5
1999.5,64.8,79.6205,18.7978,18.6
2000,165.6,72.7272,19.2795,18.8
2000.5,257.85,65.8724,19.7529,19
2001,346.95,59.0828,20.2545,19.3
2001.5,442.8,52.3953,20.8191,19.6
2002,500.4,45.8647,21.3292,19.9
2002.5,511.2,39.5779,21.5726,20.1
2003,554.4,33.6798,21.7765,20.3
2003.5,622.1331,28.4208,22.2233,20.5
2004,673.1744,24.2268,22.879,20.8
2004.5,725.9827,21.728,23.3774,21
2005,741.2968,21.5254,23.4947,21.2
2005.5,715.1212,23.6782,23.5011,21.4
2006,702.5919,27.64,23.5623,21.5
2006.5,704.4343,32.7582,23.7507,21.6
2007,662.2609,38.5718,23.8912,21.7
2007.5,581.4,44.8065,23.6225,21.7
2008,505.8,51.3039,23.2101,21.8
2008.5,423,57.9699,22.8756,21.8
2009,333,64.7455,22.5533,21.7
2009.5,229.5,71.5916,22.1958,21.6
2010,137.7,78.4801,21.8333,21.5
2010.5,48.6,85.3893,21.4136,21.3
2011,0,89.4227,21.025,21
2011.5,0,90,20.825,20.8
2012,0,90,20.675,20.7
2012.5,0,90,20.525,20.5
2013,0,90,20.375,20.4
2013.5,0,90,20.2,20.2
2014,0,90,20,20
2014.5,0,90,19.825,19.8
2015,0,90,19.675,19.7
2015.5,0,90,19.525,19.5
2016,0,90,19.375,19.4
2016.5,0,90,19.2,19.2
2017,0,90,19,19
2017.5,0,90,18.75,18.8
2018,0,90,18.45,18.4
2018.5,0,90,18.25,18.3
2019,0,90,18.15,18.2
2019.5,0,90,18.075,18.1
2020,0,90,18.025,18
2020.5,0,90,17.95,17.9
2021,0,90,17.85,17.9
2021.5,0,90,17.75,17.8
2022,0,90,17.65,17.7
2022.5,1.8,89.8814,17.6,17.6
2023,5.4,86.3067,17.6,17.6
2023.5,75.6,79.3952,17.8343,17.7
2024,176.4,72.499,18.1966,17.8
2024.5,252,65.6389,18.5231,18
2025,331.2,58.8412,18.8679,18.2
2025.5,409.05,52.1423,19.1949,18.4
2026,476.55,45.596,19.4854,18.7
2026.5,524.7,39.2882,19.7739,18.9
2027,598.5,33.3629,20.1527,19.1
2027.5,717.9883,28.0707,20.5838,19.3
2028,764.5391,23.8436,20.8346,19.5
2028.5,747.1603,21.329,20.946,19.7
2029,741.7725,21.1494,21.05,19.8
2029.5,728.1812,23.3587,21.1505,20
2030,711.1475,27.3833,21.257,20.1
2030.5,708.493,32.5539,21.3102,20.1
2031,643.8158,38.4069,21.1914,20.2
2031.5,518.85,44.6704,21.037,20.2
2032,409.95,51.1886,20.9371,20.2
2032.5,281.7,57.8694,20.6552,20.1
2033,193.5,64.6554,20.3297,20
2033.5,140.4,71.5083,20.0759,19.8
2034,82.8,78.4006,19.8193,19.7
2034.5,29.7,85.3111,19.5552,19.5
2035,0,89.3835,19.3,19.3
2035.5,0,90,19.2,19.2
2036,0,90,19.2,19.2
2036.5,0,90,19.2,19.2
2037,0,90,19.2,19.2
2037.5,0,90,19.2,19.2
2038,0,90,19.2,19.2
2038.5,0,90,19.175,19.2
2039,0,90,19.125,19.1
2039.5,0,90,19.1,19.1
2040,0,90,19.1,19.1
2040.5,0,90,19.125,19.1
2041,0,90,19.175,19.2
2041.5,0,90,19.25,19.3
2042,0,90,19.35,19.4
2042.5,0,90,19.425,19.4
2043,0,90,19.475,19.5
2043.5,0,90,19.525,19.5
2044,0,90,19.575,19.6
2044.5,0,90,19.625,19.6
2045,0,90,19.675,19.7
2045.5,0,90,19.7,19.7
2046,0,90,19.7,19.7
2046.5,1.8,89.769,19.725,19.7
2047,5.4,86.0824,19.775,19.8
2047.5,67.95,79.1703,20.0736,19.9
2048,148.05,72.2714,20.5201,20.1
2048.5,193.05,65.4063,20.911,20.3
2049,260.55,58.6009,21.3833,20.6
2049.5,345.15,51.8908,21.958,20.8
2050,410.85,45.3291,22.562,21.1
2050.5,465.75,39.0005,23.0438,21.3
2051,513.45,33.0478,23.3535,21.6
2051.5,553.5,27.7223,23.719,21.8
2052,584.1,23.4614,24.1492,22.1
2052.5,612,20.9308,24.515,22.3
2053,612,20.7749,24.715,22.5
2053.5,581.4,23.0423,24.7816,22.7
2054,556.2,27.1305,24.8436,22.8
2054.5,533.7,32.3535,24.7945,22.8
2055,488.7,38.2456,24.5678,22.9
2055.5,420.75,44.5373,24.4098,22.9
2056,356.85,51.0758,24.3742,23
2056.5,290.7,57.7711,24.1658,23
2057,220.5,64.567,23.7861,22.9
2057.5,139.05,71.4263,23.3023,22.7
2058,76.95,78.3222,22.8767,22.6
2058.5,28.8,85.2337,22.5313,22.4
2059,0,89.3446,22.275,22.3
2059.5,0,90,22.15,22.2
2060,0,90,22.05,22.1
2060.5,0,90,21.975,22
2061,0,90,21.925,21.9
2061.5,0,90,21.875,21.9
2062,0,90,21.825,21.8
